birth_year	weight	cum_weight
1940	0.353780773	0.353780773
1941	0.51924132	0.873022093
1942	0.682524754	1.555546847
1943	0.514887095	2.070433942
1944	0.648779511	2.719213453
1945	0.753280908	3.472494361
1946	1.183260618	4.655754979
1947	1.609974658	6.265729637
1948	1.854899809	8.120629447
1949	1.941984307	10.06261375
1950	2.439454503	12.50206826
1951	3.296148253	15.79821651
1952	3.461608799	19.25982531
1953	5.19785598	24.45768129
1954	5.948959776	30.40664106
1955	6.117685991	36.52432705
1956	7.534986197	44.05931325
1957	8.299152668	52.35846592
1958	9.146049412	61.50451533
1959	10.16493804	71.66945337
1960	12.08515122	83.75460459
1961	11.42222048	95.17682507
1962	13.52748822	108.7043133
1963	14.22416421	122.9284775
1964	14.95567399	137.8841515
1965	15.04166993	152.9258214
1966	14.87729794	167.8031194
1967	16.12260626	183.9257256
1968	16.70933807	200.6350637
1969	16.8726215	217.5076852
1970	17.74346649	235.2511517
1971	18.78848046	254.0396322
1972	18.35088086	272.390513
1973	18.30951572	290.7000287
1974	19.64081999	310.3408487
1975	19.87485958	330.2157083
1976	21.02655206	351.2422604
1977	21.89195426	373.1342146
1978	22.91302	396.0472346
1979	24.99325095	421.0404856
1980	27.38154331	448.4220289
1981	29.71867353	478.1407024
1982	31.50390574	509.6446082
1983	33.89981799	543.5444262
1984	35.71117555	579.2556017
1985	38.06898834	617.32459
1986	38.02218042	655.3467705
1987	38.83968615	694.1864566
1988	41.27914065	735.4655973
1989	41.80055908	777.2661564
1990	41.77443373	819.0405901
1991	36.51344149	855.5540316
1992	33.2357987	888.7898303
1993	28.56153826	917.3513685
1994	23.0697721	940.4211406
1995	18.51416429	958.9353049
1996	12.96579321	971.9010981
1997	8.858670568	980.7597687
1998	6.283146537	987.0429152
1999	5.035661102	992.0785763
2000	3.959078994	996.0376553
2001	2.217389033	998.2550444
2002	1.177817837	999.4328622
2003	0.468079177	999.9009414
2004	0.099058617	1000